codepoint,char,unicode_name,romanization
U+A473,ꑳ,Yi Syllable Yi,yi
U+A474,ꑴ,Yi Syllable Yip,yip
U+A475,ꑵ,Yi Syllable Yiet,yiet
U+A476,ꑶ,Yi Syllable Yiex,yiex
U+A477,ꑷ,Yi Syllable Yie,yie
U+A478,ꑸ,Yi Syllable Yiep,yiep
U+A479,ꑹ,Yi Syllable Yuot,yuot
U+A47A,ꑺ,Yi Syllable Yuox,yuox
U+A47B,ꑻ,Yi Syllable Yuo,yuo
U+A47C,ꑼ,Yi Syllable Yuop,yuop
U+A47D,ꑽ,Yi Syllable Yot,yot
U+A47E,ꑾ,Yi Syllable Yox,yox
U+A47F,ꑿ,Yi Syllable Yo,yo
U+A480,ꒀ,Yi Syllable Yop,yop
U+A481,ꒁ,Yi Syllable Yut,yut
U+A482,ꒂ,Yi Syllable Yux,yux
U+A483,ꒃ,Yi Syllable Yu,yu
U+A484,ꒄ,Yi Syllable Yup,yup
U+A485,ꒅ,Yi Syllable Yurx,yurx
U+A486,ꒆ,Yi Syllable Yur,yur
U+A487,ꒇ,Yi Syllable Yyt,yyt
U+A488,ꒈ,Yi Syllable Yyx,yyx
U+A489,ꒉ,Yi Syllable Yy,yy
U+A48A,ꒊ,Yi Syllable Yyp,yyp
U+A48B,ꒋ,Yi Syllable Yyrx,yyrx
U+A48C,ꒌ,Yi Syllable Yyr,yyr
